"GEO_ID","id",
"NAME","Geographic Area Name",
"C16001_001E","Estimate!!Total",
"C16001_001M","Margin of Error!!Total",
"C16001_002E","Estimate!!Total!!Speak only English",
"C16001_002M","Margin of Error!!Total!!Speak only English",
"C16001_003E","Estimate!!Total!!Spanish or Spanish Creole",
"C16001_003M","Margin of Error!!Total!!Spanish or Spanish Creole",
"C16001_004E","Estimate!!Total!!French (including Patois, Creole, Cajun)",
"C16001_004M","Margin of Error!!Total!!French (including Patois, Creole, Cajun)",
"C16001_005E","Estimate!!Total!!German or other West Germanic languages",
"C16001_005M","Margin of Error!!Total!!German or other West Germanic languages",
"C16001_006E","Estimate!!Total!!Slavic languages",
"C16001_006M","Margin of Error!!Total!!Slavic languages",
"C16001_007E","Estimate!!Total!!Other Indo-European languages",
"C16001_007M","Margin of Error!!Total!!Other Indo-European languages",
"C16001_008E","Estimate!!Total!!Korean",
"C16001_008M","Margin of Error!!Total!!Korean",
"C16001_009E","Estimate!!Total!!Chinese",
"C16001_009M","Margin of Error!!Total!!Chinese",
"C16001_010E","Estimate!!Total!!Vietnamese",
"C16001_010M","Margin of Error!!Total!!Vietnamese",
"C16001_011E","Estimate!!Total!!Tagalog",
"C16001_011M","Margin of Error!!Total!!Tagalog",
"C16001_012E","Estimate!!Total!!Other Asian and Pacific Island languages",
"C16001_012M","Margin of Error!!Total!!Other Asian and Pacific Island languages",
"C16001_013E","Estimate!!Total!!Other and unspecified languages",
"C16001_013M","Margin of Error!!Total!!Other and unspecified languages",
